// Indonesian langfile for BombusQD - mobile jabber client
// Copyright (c) 2005-2008, Eugene Stahov (evgs), http://bombus-im.org
// (c) barep <barep@indochat.co.cc> http://barep.jw.lt

// All rights reserved.

// ask server to send us localized messages
xmlLang	_ID
<Other>	<Lainnya>
history -	Riwayat -
Append	Tambahkan
Active Contacts	Kontak Aktif
Select nickname	Pilih Nama Panggilan
Group	Grup
Join conference	Join Konferensi
No	Tidak
Re-Enter Room	Masuk Ulang Ruangan
New Message	Pesan Baru
Add	Tambah
Logon	Hidupkan
Stanzas	Stanzas
at Host	Pada Host
join conferences	Join Konferensi
Status	Status
Smiles	Smile
Contact >	Kontak >
offline contacts	Kontak Offline
Transport	Penghantar
composing events	Mengetik Pesan
Add Smile	Tambah Smile
Nickname	Nama Panggilan
Revoke Voice	Bungkam
Not-in-list	Tidak Terdaftar
Commands	Perintah
- (Sign)	- (Tanda)
Set default	Atur Tetap
Outcasts (Ban)	Pengasingan (Ban)
Set affiliation to	Atur keanggotaan ke
Register Account	Daftarkan Akun
autologin	Login Otomatis
resolve hostname	Tetapkan Nama Host
Logoff	Matikan
Publish	Umumkan
Remove subscription	Buang Langganan
Set	Atur
Application	Aplikasi
Bookmarks	Penunjuk
Test sound	Tes Suara
Startup	Permulaan
Edit rule	Edit aturan
Cancel	Batal
Close	Tutup
Archive	Arsip
Conference	Konferensi
Sound	Suara
Login failed	Login Gagal
Browse	Jelajahi
New Jid	JID Baru
plain-text password	Sandi Teks Datar
Paste Nickname	Tempel Nama Panggilan
Kick	Tendang (kick)
Remove readed	Buang Terbaca
Grant Voice	Ijinkan Bersuara
Move Down	Ke Bawah
Quote	Kutip
Roster elements	Elemen Daftar Nama
popup from background	Popup Dari Latar
smiles	Smile
About	Tentang
Resource	Sumber
Disconnected	Terputus
Edit	Edit
Host name/IP (optional)	Nama Host/IP (Tambahan)
Add rule	Tambah Aturan
for all status types	Untuk Semua Jenis Status
Paste Jid	Tempel JID
Goto URL	Pergi ke URL
Clock offset	Atur Jam
Yes	Ya
Suspend	Tunda
Alert Profile >	Profil Suara >
My vCard	vCard Ku
transports	Penghantar
New Account	Akun Baru
self-contact	Kontak Sendiri
vCard	vCard
Set Subject	Tetapkan Topik
Tools	Peralatan
Port	Port
Resume Message	Lanjutkan pesan
Are You sure want to discard 	Anda yakin akan mengubah 
 from OWNER to 	 dari PEMILIK ke 
Modify affiliation	Ubah Keanggotaan
Clear	Bersihkan
Connect	Sambung
Unaffiliate	Cabut Kembali
Grant Moderator	Jadikan Moderator
Revoke Moderator	Cabut Moderator
Grant Admin	Jadikan Admin
Grant Ownership	Jadikan Pemilik
Visitors are not allowed to send messages to all occupants	Pengunjung tidak diijinkan mengirim pesan ke ruangan
 is inviting You to 	 telah mengundang anda ke 
Ask subscription	Tanya Langganan
Grant subscription	Ijinkan Langganan
Invite to conference	Undang Ke Konferensi
Reason	Alasan
You have been invited to 	Anda telah diundang ke 
Participants	Peserta
Abc	Abc
room presences	Kehadiran Ruang
 is now known as 	 sekarang adalah 
 was banned 	 telah diasingkan 
 was kicked 	 telah ditendang 
 has been kicked because room became members-only	 telah ditendang karena ruangan menjadi khusus anggota
 has left the channel	 telah (exit)
 has joined the channel as 	 bergabung keruangan sebagai 
 and 	 dan 
 is now 	 sekarang 
error	error
Select history folder	Pilih Folder Riwayat
Sound volume	Volume Suara
Language	Bahasa
Save history	Simpan Riwayat
Save presences	Simpan Kehadiran
Save conference history	Simpan Riwayat Konferensi
Save conference presences	Simpan Kehadiran Konferensi
convert to cp1251	Confert ke jendela-1251
History folder	Folder Riwayat
Copy	Salin
Paste	Tempel
Save template	Simpan Pola
Template	Pola
has set topic to	telah menetapkan topik menjadi
Seen	Lihat
Idle	Berdasarkan Diam
Main menu	Menu Utama
Choose status	Ganti Status
Add status	Tambah Status
Remove status	Buang Status
Address	Alamat
Make BackUp	Membuat BackUp
Import from BackUp	Muat dari BackUp
View	Lihat
Stop	Berhenti
File transfers	Pengiriman File
Path	Path
Accept file	Terima File
File	File
Save To	Simpan ke
Sender	Pengirim
Rejected	Ditolak
Send file	Kirim File
Can't open file	Tidak dapat membuka file
New	Pesan
New Template	Pola Baru
Save photo	Simpan Poto
balloon ink	Warna balon
balloon background	Latar balon
messagelist & roster background	Latar daftar pesan & daftar nama
messagelist & roster even lines	Daftar pesan & daftar baris
messagelist & roster & common font	Daftar pesan & daftar nama & huruf umum
message subject	Pesan topik
message highlight	Pesan untuk saya diruangan
service discovery commands	Perintah pencarian layanan
panels background	Latar panel
header font	Huruf Panel
contact default	Kontak umum
contact chat	Kontak "Bebas Ngobrol"
contact away	Kontak "Sibuk"
contact extended away	Kontak "Tidak Tersedia"
contact do not disturb	Kontak "Jangan Diganggu"
group color	Huruf grup
keylock font	Huruf ketika tombol dikunci
keylock background	Latar ketika tombol dikunci
message incoming	Pesan masuk
message outgoing	Pesan keluar
message presence	Pesan kehadiran
message auth	Pesan asli
message history	Pesan riwayat
progress bar remained	Batang bergerak utama
progress bar complete	Batang bergerak komplit
progress bar font	Huruf batang bergerak
Heap mon total	Heap total
Heap mon free	Heap bebas
Cursor background	Latar kursor
Cursor ink & outline	Huruf kursor & garis luar
Scroll border	Batas gulungan
Scroll bar	Batang gulungan
Scroll back	Gulungan kembali
other message incoming	Pesan masuk lainnya
other message outgoing	Pesan keluar lainnya
other message presence	Pesan kehadiran lainnya
Popup font	Huruf popup
Popup background	Latar popup
Popup system font	Huruf sistem popup
Popup system background	Latar sistem popup
Contact status font	Huruf status kontak
Control color	Warna kontrol
Color tune	Pengaturan warna
Load Scheme	Muat thema warna
Sounds options	Pilihan Suara
Time	Waktu
participant	peserta
moderator	moderator
visitor	pengunjung
none	kosong
member	anggota
admin	admin
owner	pemilik
second's	detik
seconds	detik
second	detik
minute's	menit
minutes	menit
minute	menit
hour's	jam
hours	jam
hour	jam
day's	hari
days	hari
day	hari
Minutes before away	Menit sebelum sibuk (menit)
Automatic Sibuk Otomatis
disabled	Tiadakan
keyblock	Kunci Tombol
by message	Oleh Pesan
AutoStatus	Status Otomatis
AutoStatus time (min)	Waktu Status Otomatis(menit)
Auto xa since %t	Otomatis "Tidak Tersedia" sejak %t
Auto away since %t	Otomatis "Sibuk" sejak %t
autofocus	Otomatis Menuju Pesan Baru
Grant Membership	Jadikan Anggota
Are You sure want to clear messagelist?	Anda yakin ingin membersihkan daftar pesan?
Google token request	Meminta Tanda Google
Features	Ragam
Show password	Perlihatkan Sandi
No client version available	Tidak terdapat versi klien
Message limit	Batas Pesan
Opening stream	Membuka Jalur
Using compression	Kompres Data
Authenticating	Membuktikan Keaslian
Resource binding	Mengikat Sumber
Initiating session	Memulai Sesi
Text wrapping	Batas Pesan
by chars	Oleh Huruf
by words	Oleh Kata
Info	Info
Reply	Balas
Send status	Kirim Status
Are you sure want to BAN this person?	Anda yakin ingin mengasingkan orang ini?
No reason	Tanpa Alasan
Recent	Terbaru
Shot	Kamera
Select file	Pilih File
Load Photo	Muat Foto
Clear Photo	Bersihkan Foto
Camera	Kamera
Hide finished	Sembunyikan Penyelesaian
Transfer tasks	Kirim Tugas
Are you sure want to delete this message?	Anda yakin ingin menghapus pesan ini?
New conference	Konferensi Baru
Root	Root
Decline	Tolak
Authorize new contacts	Memberi Hak Kontak Baru
[auto-subscribe]	[Otomatis Berlangganan]
Keep-Alive	Tetap Hidup
 has been unaffiliated and kicked from members-only room	 telah dicabut dan ditendang dari ruangan khusus anggota
Rename	Ganti Nama
Move	Pindah
Save	Simpan
Translit	Translit
ReTranslit	ReTranslit
Auto translit2Cyr	Otomatis Translit2Cry
Check Updates	Periksa Versi Terbaru
Show Resources	Perlihatkan Sumber
Collapsed groups	Lipat Grup
Send Buffer	Kirim Buffer
Change nickname	Ganti Nama Panggilan
Message collapse limit	Batas Lipatan Pesan
No client info	Tidak ada info Klien
Delete all messages	Hapus Semua Pesan
Join marked (auto)	Join Market (Otomatis)
Statistics	Statistik
Clear all chats	Bersihkan semua obrolan
Started: 	Dimulai: 
Traffic stats: 	Rincian: 
All: 	Semua: 
Current: 	Sekarang: 
Last Messages	Pesan Terakhir
Edit/join	Edit/Join
Use this Color scheme	Gunakan thema warna ini
Delete All	Hapus Semua
History options	Pengaturan Riwayat
Filenames transliterate	Menyalin Nama File
Save chat	Simpan Obrolan
show statuses	Perlihatkan Status
shared platform info	Tunjukkan Info Platform
delivery events	Pengiriman Pesan
drop all	Tolak Semua
receive messages	Terima Pesan
messages & presences	Pesan & Kehadiran
normal	Normal
small	Kecil
large	Besar
All signals	Semua Sinyal
Vibra	Getar
No signals	Tanpa Sinyal
 (default)	 (Tetap)
Quit?	Keluar?
Are you sure want to Quit?	Anda yakin ingin keluar?
exit confirmation	Konfirmasi Keluar
show last appeared contacts	Kontak Terakhir Muncul
custom keys	Tombol Cepat
Add custom key	Tambah Tombol Cepat
keys action	Fungsi Tombol
enabled	Pasang
key	Tombol
Reconnect	Sambung Ulang
Sort list	Sortir Daftar
Turn on light	Hidupkan Lampu
show time and traffic	Perlihatkan Waktu dan Data Terpakai
Clear popups	Tanpa PopUp
Chat history length	Panjang Riwayat Obrolan
This user wants to subscribe to your presence	Pengguna ini ingin berlangganan ke kehadiran anda
You are now authorized	Anda sekarang memberi hak
Your authorization has been removed!	Pemberian hak anda telah dibuang!
To: 	Ke: 
size:	Ukuran:
Sun	Mng
Mon	Sen
Tue	Sel
Wed	Rab
Thu	Kam
Fri	Jum
Sat	Sab
Automatic subscription	Otomatis Berlangganan
Ask me	Tanya Saya
Drop subscription	Abaikan Langganan
Deny subscription	Tolak Langganan
Search	Cari
Register	Mendaftar
Check Google mail	Periksa GMail
Blink	Kedip
Notices options	Pilihan Suara
Message sound	Suara Pesan
Online sound	Suara Online
Offline sound	Suara Offline
"Message for me" sound	Suara "Pesan Untuk Saya"
Composing sound	Suara Mengetik Pesan
Conference sound	Suara Konferensi
StartUP sound	Suara Permulaan
Outgoing sound	Suara Keluar
Vip sound	Suara VIP
Copy JID	Salin JID
Ping request	Permintaan Ping
Online time	Waktu Online
Break connection	Percobaan Putus
autoScroll	Gulung Otomatis
emulate tabs	(4/6) Geser Jendela
show balloons	Perlihatkan Balon
popUps	PopUp
AutoStatus Message	Pesan Status Otomatis
Memory:	Memori:
Free: 	Bebas: 
Total: 	Total: 
Sessions(s): 	Sesi: 
Description	Uraian
User	Pengguna
Import/Export	Muat/Simpan
bold font for contacts	Huruf Tebal untuk Kontak
running message	Pesan Berjalan
Composing message to you	Mengetik Pesan Ke Anda
compression	Kompres Data
New room created	Ruang baru telah dibuat
IRC-like conference nick-status	Status nick seperti IRC
user moods send/receive	Kirim/Terima Emosi Pengguna
Simulated break	Percobaan Putus
Build new version on constructor	Download Versi Baru di Web
Auto tasks	Tugas Otomatis
Auto task type	Tugas Otomatis
by timer 	Oleh Timer
by time 	Oleh Waktu
Auto task action type	Jenis Tugas Otomatis
Quit BombusMod	Keluar BombusMod
Quit conferences	Keluar Konferensi
Disconnection	Memutus Sambungan
disabled	Tiadakan
Delay (min.)	Tunda (menit)
Start time	Waktu Mulai
Hour	Jam
Min	Menit
Browse rooms	Jelajah Ruangan
Autorespond	Jawab Otomatis
Invert colors	Balikkan Warna
XML console	XML Console
Clipboard	Clipboard
User moods	Emosi Pengguna
User activity	Aktivitas Pengguna
Personal events not supported	Event Pribadi tidak didukung
User tune	Pengaturan Pengguna
user tune receive	Terima Pengaturan Pengguna
Bar font	Huruf Panel
Popup & ballon font	Huruf Popup & Balon
Fonts options	Pilihan Huruf
Load history	Muat Riwayat
Connect to	Sambung Ke
Send my color scheme	Kirim Thema Warnaku
Unread messages	Pesan Belum dibaca
vibrate only highlited	Getar hanya untuk pesan ke saya
Extended settings	Pengaturan Tambahan
Save to file	Simpan ke File
Load from file	Muat dari File
Show IQ requests	Perlihatkan Permintaan IQ
Show clients icons	Perlihatkan icon Klien
Action	Aksi
Value	Nama
Quantity of attempts	Jumlah Sambung Ulang
Delay before reconnect(sec.)	Tunda Sebelum Sambung ulang(detik)
Menu	MENU
Previous	Sebelumnya
Previous: 	Sebelumnya: 
[End of vCard]	Akhir vCard
[No vCard available]	Tidak terdapat vCard
[No photo available]	Tidak ada Foto
[Unsupported format]	Format tidak di dukung
[large photo was 
dropped]	[Foto terlalu besar akan dijatuhkan]
Delete group?	Hapus Grup?
Panels	Panel
[ ]	[kosong]
[main bar]	[judul]
[info bar]	[info]
Flash backlight	Lampu Berkedip
execute menu by numkey	Menu dengan nomor tombol
show nicknames	Perlihatkan Nama Panggilan
Send photo	Kirim Foto
enable autorespond	Pasang Jawab Otomatis
File manager	Kelola File
remote control	Kontrol Jauh
// barep 260509Advanced Options	Pengaturan tambahan
new MessageEdit	Edit pesan baru
Turn OFF Animation	Matikan animasi/gambar
Turn OFF Icon Collapsed Message	Matikan ikon di lipatan pesan
Draw vcard image on contact	Tampilkan vcard dikontak
My Jabber>	Jabber-ku>
Autosave cursor position in chat	Otomatis menyimpan letak kursor diobrolan
Colored Bold String in chat(+many others strings)	Warna tebal di obrolan (+string lainya)
Autoloading vcard	Otomatis memuat vcard
ClientIcons Left	Ikon klien dikiri
Max Avatar Height	Tinggi avatar maksimal
Max Avatar Width	Lebar avatar maksimal
Scroll Options	Pengaturan Scroll
Scroll Width	Lebar scroll
Draw Bgnd of Scroll	Tampilan latar scroll
Automatic Away	Sibuk otomatis
Type of Background	Jenis latar
Background Default	Latar umum
Background image	Latar gambar
Background Gradient	Latar gradient
Classic Chat	Obrolan klasik
Auto Scrolling	Otomatis bergeser
Chat Height(max-320)	Tinggi obrolan (maks 320)
Scroll speed(msec,10sec-max)	Kecepatan scroll(mdet,10-maks)
Show messages limit(1000-max)	Lihat batas pesan(1000-maks)
MyActivity	Aktifitas-ku
Remove from server	Buang dari layanan
Change password	Ganti sandi
Add Profile	Tambah profil
After Restart App	Setelah restart App
Contact Helper	Kontak bantuan
Gradient cursor	Kursor gradient
Alternating chat colors	Pilihan lain warna obrolan
VCARD Avatar size	Ukuran Avatar vCard
MemoryUse	Memori digunakan
Background Phone theme	Gunakan thema HP
Load skin.png from File	Muat skin.png dari HP
Set Default skin.png	Atur tetap skin.png
Drawed font	Tampilan huruf
Service>	Service>
Difficulty level	TINGKAT KESULITAN
Pubsub events	Kegiatan pengguna
Delete all statuses	Hapus semua status
Add Search Query	Tambah pencarian kata
Enter search word!	Tulis kata yang dicari!
Time:	Waktu:
Traffic:	Data terpakai:
use:	Digunakan:
Free/Total:	Bebas/Total:
Stanzas(in/out):	Stanzas(masuk/keluar):
QD News	QD Terbaru
AutoSave In FS	Otomatis simpan di FS
Avatar Folder	Folder Avatar
Roster:Load all Avatars from FS	Daftar nama:Muat semua Avatar dari FS
Muc:Load all Avatars from FS	Muc:Muat semua Avatar dari FS
UPDATE!	Perbarui
Draw Rect Avatar	Avatar persegi panjangAdvanced Options	Pengaturan tambahan
 
